"contamination","dataset_id","engine","variant","quantity","reference_value","observed_value","absolute_difference","allowed_difference","numerically_equivalent"
"none",5,"robustbase","global_row_order","conf_high",0.176000160812968,0.176000160807749,5.2195747723971e-12,1.17600016081297e-05,TRUE
"vertical",1,"robust","exact_repeat","estimate",-0.00868280117112228,-0.00868280117112228,0,1.00868280117112e-05,TRUE
"vertical",1,"robust","exact_repeat","std_error",0.080667640976219,0.080667640976219,0,1.08066764097622e-05,TRUE
"vertical",1,"robust","exact_repeat","p_value",0.916645188260656,0.916645188260656,0,1.91664518826066e-05,TRUE
"vertical",1,"robust","exact_repeat","conf_low",-0.19116568301151,-0.19116568301151,0,1.19116568301151e-05,TRUE
"vertical",1,"robust","exact_repeat","conf_high",0.173800080669265,0.173800080669265,0,1.17380008066927e-05,TRUE
"vertical",1,"robust","within_cluster_row_order","estimate",-0.00868280117112228,-0.00868275463183325,4.6539289030173e-08,1.00868280117112e-05,TRUE
"vertical",1,"robust","within_cluster_row_order","std_error",0.080667640976219,0.0806676281233821,1.28528369197634e-08,1.08066764097622e-05,TRUE
"vertical",1,"robust","within_cluster_row_order","p_value",0.916645188260656,0.916645619900998,4.31640341913564e-07,1.91664518826066e-05,TRUE
"vertical",1,"robust","within_cluster_row_order","conf_low",-0.19116568301151,-0.191165607397084,7.56144261371272e-08,1.19116568301151e-05,TRUE
"vertical",1,"robust","within_cluster_row_order","conf_high",0.173800080669265,0.173800098133417,1.74641519301577e-08,1.17380008066927e-05,TRUE
"vertical",1,"robust","cluster_block_order","estimate",-0.00868280117112228,-0.00868280117112228,0,1.00868280117112e-05,TRUE
"vertical",1,"robust","cluster_block_order","std_error",0.080667640976219,0.080667640976219,0,1.08066764097622e-05,TRUE
"vertical",1,"robust","cluster_block_order","p_value",0.916645188260656,0.916645188260656,0,1.91664518826066e-05,TRUE
"vertical",1,"robust","cluster_block_order","conf_low",-0.19116568301151,-0.19116568301151,0,1.19116568301151e-05,TRUE
"vertical",1,"robust","cluster_block_order","conf_high",0.173800080669265,0.173800080669265,0,1.17380008066927e-05,TRUE
"vertical",1,"robust","global_row_order","estimate",-0.00868280117112228,-0.00868274913105416,5.20400681193467e-08,1.00868280117112e-05,TRUE
"vertical",1,"robust","global_row_order","std_error",0.080667640976219,0.0806676291182995,1.18579195212964e-08,1.08066764097622e-05,TRUE
