"model","condition_id","calibration_stage","candidate_id","n_clusters","cluster_size","beta","intercept","random_intercept_sd","residual_sd","x_sd","contamination","contamination_prop","contamination_size","leverage_size","reps","alpha","method_set","condition_seed","mean_coef","bias","rejection_rate","rejection_rate_se","rmse","coverage","coverage_se","avg_ci_width","success","failure_rate","singular_rate","mean_retained_clusters","mean_runtime_sec","clean_mean_coef","clean_bias","clean_rejection_rate","clean_rmse","clean_coverage","clean_avg_ci_width","clean_failure_rate","rmse_difference","rmse_ratio","ci_width_difference","ci_width_ratio","absolute_bias_difference","rejection_rate_difference","coverage_difference"
"cats","PC012","bad_leverage_severity","B03",20,40,0,0,1,1,1,"bad_leverage",0.05,3,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,-0.346245889680055,-0.346245889680055,100,0,0.347440671741061,0,0,0.120306216257499,250,0,,20,0.0591600000000108,0.000916354257819891,0.000916354257819891,4.8,0.0366339749072019,95.2,0.15131954695173,0,0.310806696833859,9.48411065469059,-0.0310133306942302,0.795047425669842,0.345329535422235,95.2,-95.2
"cats_trunc","PC009","vertical_severity","V04",20,40,0,0,1,1,1,"vertical",0.05,10,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,0.00277035531700213,0.00277035531700213,2.4,0.967966941584267,0.0877001052932136,97.6,0.967966941584268,0.374505744360845,250,0,,20,0.0589199999999983,0.000916354257819891,0.000916354257819891,4.8,0.0366339749072019,95.2,0.15131954695173,0,0.0510661303860117,2.39395548846032,0.223186197409115,2.47493302686341,0.00185400105918224,-2.4,2.40000000000001
"cats_trunc","PC010","bad_leverage_severity","B01",20,40,0,0,1,1,1,"bad_leverage",0.05,1,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,-0.113903158112734,-0.113903158112734,96,1.23935467078637,0.117200501635131,4,1.23935467078637,0.114000030437112,250,0,,20,0.0586400000000012,0.000916354257819891,0.000916354257819891,4.8,0.0366339749072019,95.2,0.15131954695173,0,0.0805665267279294,3.19922972956153,-0.0373195165146176,0.753372797722409,0.112986803854914,91.2,-91.2
"cats_trunc","PC008","vertical_severity","V03",20,40,0,0,1,1,1,"vertical",0.05,8,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,0.00239955510516568,0.00239955510516568,3.6,1.17820202002882,0.0729871598837517,96.4,1.17820202002882,0.312944196121081,250,0,,20,0.0628399999999974,0.000916354257819891,0.000916354257819891,4.8,0.0366339749072019,95.2,0.15131954695173,0,0.0363531849765498,1.99233525896757,0.161624649169352,2.06810159312008,0.00148320084734579,-1.2,1.2
"cats_trunc","PC006","vertical_severity","V01",20,40,0,0,1,1,1,"vertical",0.05,4,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,0.00150916288207463,0.00150916288207463,3.2,1.11312173637927,0.0471651739830705,96.8,1.11312173637927,0.203507738934696,250,0,,19.996,0.0628000000000065,0.000916354257819891,0.000916354257819891,4.8,0.0366339749072019,95.2,0.15131954695173,0,0.0105311990758686,1.28747082735481,0.0521881919829663,1.34488731320095,0.000592808624254739,-1.6,1.60000000000001
"cats_trunc","PC007","vertical_severity","V02",20,40,0,0,1,1,1,"vertical",0.05,6,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,0.00202875489332923,0.00202875489332923,3.6,1.17820202002882,0.0592461643697732,96.4,1.17820202002882,0.254987418716971,250,0,,20,0.0604400000000014,0.000916354257819891,0.000916354257819891,4.8,0.0366339749072019,95.2,0.15131954695173,0,0.0226121894625714,1.61724640910113,0.103667871765241,1.68509240117082,0.00111240063550934,-1.2,1.2
"cats_trunc","PC012","bad_leverage_severity","B03",20,40,0,0,1,1,1,"bad_leverage",0.05,3,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,-0.346245889680055,-0.346245889680055,100,0,0.347440671741061,0,0,0.120306216257499,250,0,,20,0.0605999999999913,0.000916354257819891,0.000916354257819891,4.8,0.0366339749072019,95.2,0.15131954695173,0,0.310806696833859,9.48411065469059,-0.0310133306942302,0.795047425669842,0.345329535422235,95.2,-95.2
"cats_trunc","PC015","bad_leverage_severity","B06",20,40,0,0,1,1,1,"bad_leverage",0.05,3,6,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,-0.327615822443801,-0.327615822443801,100,0,0.328394178388909,0,0,0.0931442305822529,250,0,,20,0.0627599999999911,0.000916354257819891,0.000916354257819891,4.8,0.0366339749072019,95.2,0.15131954695173,0,0.291760203481707,8.96419728464546,-0.0581753163694766,0.615546586403445,0.326699468185981,95.2,-95.2
"cats_trunc","PC011","bad_leverage_severity","B02",20,40,0,0,1,1,1,"bad_leverage",0.05,2,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,-0.230074523896394,-0.230074523896394,100,0,0.231776522233579,0,0,0.116423558967391,250,0,,20,0.0625200000000023,0.000916354257819891,0.000916354257819891,4.8,0.0366339749072019,95.2,0.15131954695173,0,0.195142547326378,6.32681882926153,-0.0348959879843383,0.769388762474487,0.229158169638574,95.2,-95.2
"cats_trunc","PC014","bad_leverage_severity","B05",20,40,0,0,1,1,1,"bad_leverage",0.05,2,6,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,-0.217746139567707,-0.217746139567707,100,0,0.218881283958561,0,0,0.0913528616452753,250,0,,20,0.0635999999999822,0.000916354257819891,0.000916354257819891,4.8,0.0366339749072019,95.2,0.15131954695173,0,0.182247309051359,5.97481666985394,-0.0599666853064543,0.603708268267658,0.216829785309888,95.2,-95.2
