"condition_id","replicate","replicate_seed","n_clusters","random_slope_sd","contamination","contamination_label","rsen_estimate","rsen_std_error","rsen_df","rsen_boundary_fit","rsen_estimated_random_slope_sd","rsen_total_elapsed_sec","rsen_usable","rsea_estimate","rsea_std_error","rsea_df","rsea_boundary_fit","rsea_estimated_random_slope_sd","rsea_total_elapsed_sec","rsea_usable","lmer_estimate","lmer_std_error","lmer_df","lmer_boundary_fit","lmer_estimated_random_slope_sd","lmer_total_elapsed_sec","lmer_usable","rsea_minus_rsen_slope_sd","rsea_minus_rsen_estimate","rsea_to_rsen_se_ratio","lmer_minus_rsea_slope_sd","rsea_to_rsen_runtime_ratio","boundary_transition"
"RMM027",2,997572265,40,0.05,"none","Clean",-0.0297123120128213,0.0259667290285338,1034.22047240805,TRUE,0,125.570000000001,TRUE,-0.0297096991331466,0.0261867123626152,1416.14479498836,TRUE,0,79.75,TRUE,-0.0364061063205896,0.0294399201898369,37.634251526548,FALSE,0.0908264611144346,0.740000000000009,TRUE,0,2.61287967472795e-06,1.00847173834793,0.0908264611144346,0.635103926096995,"RSEn_boundary__RSEa_boundary"
"RMM027",3,2002591949,40,0.05,"none","Clean",0.0458163419896251,0.0265555239017733,1081.98072814663,TRUE,0,101.39,TRUE,0.0454896838232167,0.0257359425044239,1436.61728854728,TRUE,0,70.8799999999999,TRUE,0.0464018700871952,0.0257911736136725,37.1631641378633,FALSE,0.0425061988387386,1.25,TRUE,0,-0.000326658166408401,0.969137065403758,0.0425061988387386,0.699082749778081,"RSEn_boundary__RSEa_boundary"
"RMM027",4,45240270,40,0.05,"none","Clean",-0.00535009990009859,0.0254724774001554,1369.36848208366,TRUE,0,96.5,TRUE,-0.00543677548180313,0.0254220044624425,1967.31224993855,TRUE,0,69.71,TRUE,0.0104623806220176,0.025120176810598,37.0631821302963,FALSE,0.0253772631308396,1.25,TRUE,0,-8.66755817045461e-05,0.998018530474284,0.0253772631308396,0.72238341968912,"RSEn_boundary__RSEa_boundary"
"RMM027",5,395562116,40,0.05,"none","Clean",-0.0341126136650899,0.0266383103154312,1631.54655918089,TRUE,0,107.289999999999,TRUE,-0.0339669664242956,0.0263103870585807,1507.06623359845,TRUE,0,74.3699999999999,TRUE,-0.0344281045429965,0.0273383211126924,37.5691171798837,FALSE,0.0595793446578808,0.699999999999818,TRUE,0,0.000145647240794314,0.987689787641653,0.0595793446578808,0.69316804921242,"RSEn_boundary__RSEa_boundary"
"RMM029",1,1486507527,40,0.05,"vertical","Vertical outliers",-0.0185152935779138,0.0287490982957513,929.075481731624,TRUE,0,151.54,TRUE,-0.0187040399021951,0.0306173561788472,1175.27810360734,TRUE,0,82.3799999999999,TRUE,-0.0152744110131712,0.0452489380286545,38.0184436265159,FALSE,0.116265745701985,1.20000000000005,TRUE,0,-0.000188746324281334,1.06498492105305,0.116265745701985,0.543618846509172,"RSEn_boundary__RSEa_boundary"
"RMM029",2,997572265,40,0.05,"vertical","Vertical outliers",-0.032255380871886,0.0289049818539156,981.45712412768,TRUE,0,106.49,TRUE,-0.0327684009686317,0.0311235335898929,1434.77208131486,TRUE,0,72.22,TRUE,-0.04290134866616,0.045312967121415,36.9241928170758,FALSE,0.0856519284805242,1.22000000000003,TRUE,0,-0.000513020096745656,1.07675326513574,0.0856519284805242,0.67818574514039,"RSEn_boundary__RSEa_boundary"
"RMM029",3,2002591949,40,0.05,"vertical","Vertical outliers",0.0462553094801017,0.0291779910503418,1293.96809971212,TRUE,0,100.809999999999,TRUE,0.0460255719660581,0.0303906215386781,1607.99891229836,TRUE,0,69.9400000000001,TRUE,0.0351352662420152,0.0430452440819713,37.1582650869081,FALSE,0.0700855543789166,1.25,TRUE,0,-0.000229737514043607,1.04155976627192,0.0700855543789166,0.693780378930666,"RSEn_boundary__RSEa_boundary"
"RMM029",4,45240270,40,0.05,"vertical","Vertical outliers",3.32945933836437e-05,0.0284660978083195,1229.70700282309,TRUE,0,117.54,TRUE,0.00114283713591672,0.0302680356235255,1868.40549304172,TRUE,0,80.9699999999998,TRUE,0.0284412145323215,0.0418868845558934,36.9816608567069,TRUE,0,0.709999999999809,TRUE,0,0.00110954254253308,1.06330118821833,0,0.688871873404797,"RSEn_boundary__RSEa_boundary"
"RMM029",5,395562116,40,0.05,"vertical","Vertical outliers",-0.0600559460183663,0.0295160026168246,1919.81509950721,TRUE,0,110.559999999999,TRUE,-0.0613419313614766,0.0313383363703609,1590.98004078102,TRUE,0,74.3200000000002,TRUE,-0.0971083362306358,0.046518901538629,37.7195208413036,FALSE,0.121742971339575,1.19999999999982,TRUE,0,-0.00128598534311035,1.06174053367571,0.121742971339575,0.672214182344433,"RSEn_boundary__RSEa_boundary"
"RMM031",1,1486507527,40,0.1,"none","Clean",-0.00937722125335259,0.036419552764726,23.9597920931905,FALSE,0.156820029961016,179.8,TRUE,-0.00937774766905498,0.0340356301290711,19.6827020905209,FALSE,0.137361231680157,126.32,TRUE,-0.00384207934599281,0.0353935170535528,38.6269911571486,FALSE,0.15791038342558,1.21000000000004,TRUE,-0.0194587982808589,-5.26415702389871e-07,0.934542781152331,0.0205491517454229,0.702558398220245,"RSEn_positive__RSEa_positive"
