"condition_id","n_clusters","cluster_size","beta","contamination","contamination_prop","contamination_size","leverage_size","reps","condition_seed","model","warning_count","warning_rate","error_count","error_rate","failure_count","failure_rate","singular_rate","mean_retained_clusters","mean_runtime_sec"
"007",20,40,0,"none",0.05,10,10,5,20260735,"cats_robustbase",0,0,0,0,0,0,,20,0.235999999999999
"008",20,40,0,"vertical",0.05,10,10,5,20260736,"ri",0,0,0,0,0,0,0,20,0.834
"008",20,40,0,"vertical",0.05,10,10,5,20260736,"cr2",0,0,0,0,0,0,,20,0.166000000000005
"008",20,40,0,"vertical",0.05,10,10,5,20260736,"cats",0,0,0,0,0,0,,20,0.107999999999998
"008",20,40,0,"vertical",0.05,10,10,5,20260736,"cats_trunc",0,0,0,0,0,0,,20,0.0920000000000016
"008",20,40,0,"vertical",0.05,10,10,5,20260736,"cats_robust",0,0,0,0,0,0,,20,0.195999999999998
"008",20,40,0,"vertical",0.05,10,10,5,20260736,"cats_robustbase",0,0,0,0,0,0,,20,0.392000000000002
"009",20,40,0,"bad_leverage",0.05,10,10,5,20260737,"ri",0,0,0,0,0,0,0,20,0.731999999999996
"009",20,40,0,"bad_leverage",0.05,10,10,5,20260737,"cr2",0,0,0,0,0,0,,20,0.110000000000002
"009",20,40,0,"bad_leverage",0.05,10,10,5,20260737,"cats",0,0,0,0,0,0,,20,0.0720000000000027
"009",20,40,0,"bad_leverage",0.05,10,10,5,20260737,"cats_trunc",0,0,0,0,0,0,,20,0.0599999999999966
"009",20,40,0,"bad_leverage",0.05,10,10,5,20260737,"cats_robust",0,0,0,0,0,0,,20,0.146000000000001
"009",20,40,0,"bad_leverage",0.05,10,10,5,20260737,"cats_robustbase",0,0,0,0,0,0,,20,0.244000000000005
"010",20,40,0.2,"none",0.05,10,10,5,20260738,"ri",0,0,0,0,0,0,0,20,0.729999999999998
"010",20,40,0.2,"none",0.05,10,10,5,20260738,"cr2",0,0,0,0,0,0,,20,0.0939999999999998
"010",20,40,0.2,"none",0.05,10,10,5,20260738,"cats",0,0,0,0,0,0,,20,0.0619999999999976
"010",20,40,0.2,"none",0.05,10,10,5,20260738,"cats_trunc",0,0,0,0,0,0,,20,0.0620000000000005
"010",20,40,0.2,"none",0.05,10,10,5,20260738,"cats_robust",0,0,0,0,0,0,,20,0.124000000000004
"010",20,40,0.2,"none",0.05,10,10,5,20260738,"cats_robustbase",0,0,0,0,0,0,,20,0.242000000000002
"011",20,40,0.2,"vertical",0.05,10,10,5,20260739,"ri",0,0,0,0,0,0,0,20,0.719999999999999
"011",20,40,0.2,"vertical",0.05,10,10,5,20260739,"cr2",0,0,0,0,0,0,,20,0.0939999999999998
