"source","message","count"
"overall_warning_field","Cluster 17: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged | Cluster 19: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",2
"overall_warning_field","Cluster 19: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged | Cluster 22: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",2
"overall_warning_field","Cluster 19: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged | Cluster 25: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",2
"overall_warning_field","Cluster 19: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged | Cluster 39: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",2
"overall_warning_field","Cluster 19: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged | Cluster 40: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",2
"overall_warning_field","Cluster 2: Max iteration for refinement reached. | Cluster 10: Max iteration for refinement reached.",2
"overall_warning_field","Cluster 2: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged | Cluster 16: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",2
"overall_warning_field","Cluster 2: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged | Cluster 34: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",2
"overall_warning_field","Cluster 20: Max iteration for refinement reached. | Cluster 23: Max iteration for refinement reached.",2
"overall_warning_field","Cluster 21: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged | Cluster 22: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",2
"overall_warning_field","Cluster 21: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged | Cluster 35: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",2
