"condition_id","n_clusters","beta","contamination","contamination_label","replicate","replicate_seed","method","cluster","intercept","x","retained","warning","error"
"S1C001",10,0,"none","Clean",347,1552369732,"cats_robustbase","9",0.0728373529871091,0.0643134974930068,TRUE,,
"S1C001",10,0,"none","Clean",347,1552369732,"cats_robustbase","10",1.56915203996775,-0.288947106445601,TRUE,,
"S1C001",10,0,"none","Clean",349,1988184466,"cats_robustbase","1",0.66936392885671,-0.331728061298575,TRUE,,
"S1C001",10,0,"none","Clean",349,1988184466,"cats_robustbase","2",0.127468678865366,-0.0810585614824203,TRUE,,
"S1C001",10,0,"none","Clean",349,1988184466,"cats_robustbase","3",-0.745932319948034,0.170556784187635,TRUE,,
"S1C001",10,0,"none","Clean",349,1988184466,"cats_robustbase","4",0.421504136555342,-0.0620889150772459,TRUE,,
"S1C001",10,0,"none","Clean",349,1988184466,"cats_robustbase","5",-1.1767148187758,-0.137327763172546,TRUE,,
"S1C001",10,0,"none","Clean",349,1988184466,"cats_robustbase","6",1.17854188577554,-0.0779638219949244,TRUE,,
"S1C001",10,0,"none","Clean",349,1988184466,"cats_robustbase","7",-0.210270268993429,0.0818505441230249,TRUE,,
"S1C001",10,0,"none","Clean",349,1988184466,"cats_robustbase","8",-1.70447291024374,-0.149657375672882,TRUE,"S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",
"S1C001",10,0,"none","Clean",349,1988184466,"cats_robustbase","9",0.921577048405216,-0.100615738700763,TRUE,,
"S1C001",10,0,"none","Clean",349,1988184466,"cats_robustbase","10",0.343955467736909,0.136700845919255,TRUE,,
"S1C001",10,0,"none","Clean",352,1288427149,"cats_robust","1",-0.440177316743804,-0.234629677060132,TRUE,,
"S1C001",10,0,"none","Clean",352,1288427149,"cats_robust","2",-0.502124521935861,0.0192633181652997,TRUE,,
"S1C001",10,0,"none","Clean",352,1288427149,"cats_robust","3",0.452463312103457,-0.0774570932824369,TRUE,,
"S1C001",10,0,"none","Clean",352,1288427149,"cats_robust","4",0.555754041852559,0.347303263394006,TRUE,,
"S1C001",10,0,"none","Clean",352,1288427149,"cats_robust","5",0.420240693079038,0.103788019385032,TRUE,"Max iteration for refinement reached.",
"S1C001",10,0,"none","Clean",352,1288427149,"cats_robust","6",-0.0780711982735127,0.0718208440569961,TRUE,,
"S1C001",10,0,"none","Clean",352,1288427149,"cats_robust","7",-1.97135239331985,-0.214210264363441,TRUE,,
"S1C001",10,0,"none","Clean",352,1288427149,"cats_robust","8",0.0670249677696683,-0.278355971571028,TRUE,,
"S1C001",10,0,"none","Clean",352,1288427149,"cats_robust","9",-0.500558567551155,0.00786805213634008,TRUE,,
"S1C001",10,0,"none","Clean",352,1288427149,"cats_robust","10",-0.0277480483048213,0.284258345213406,TRUE,,
"S1C001",10,0,"none","Clean",352,1288427149,"cats_robustbase","1",-0.339350874516804,-0.207377415155878,TRUE,,
"S1C001",10,0,"none","Clean",352,1288427149,"cats_robustbase","2",-0.432446636223293,0.0773822627446299,TRUE,,
"S1C001",10,0,"none","Clean",352,1288427149,"cats_robustbase","3",0.441721601193632,-0.0761676683055754,TRUE,,
"S1C001",10,0,"none","Clean",352,1288427149,"cats_robustbase","4",0.567471508906797,0.340190900241694,TRUE,,
"S1C001",10,0,"none","Clean",352,1288427149,"cats_robustbase","5",0.429723927842804,0.109909031458428,TRUE,,
"S1C001",10,0,"none","Clean",352,1288427149,"cats_robustbase","6",-0.128683764068751,0.088214865987235,TRUE,,
"S1C001",10,0,"none","Clean",352,1288427149,"cats_robustbase","7",-1.96189171908434,-0.266728409573333,TRUE,,
"S1C001",10,0,"none","Clean",352,1288427149,"cats_robustbase","8",0.0256882047439752,-0.204091175772857,TRUE,,
"S1C001",10,0,"none","Clean",352,1288427149,"cats_robustbase","9",-0.195136149926426,-0.19466677853719,TRUE,"S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",
"S1C001",10,0,"none","Clean",352,1288427149,"cats_robustbase","10",-0.00615676612883146,0.29144477520477,TRUE,,
"S1C001",10,0,"none","Clean",356,1563046212,"cats_robustbase","1",0.880219452873135,-0.135405985506012,TRUE,,
