"condition_id","n_clusters","cluster_size","beta","effect_label","contamination","contamination_label","contamination_prop","contamination_size","leverage_size","reps","condition_seed","model","requested_reps","observed_reps","successful_reps","fit_success_rate","failure_rate","overall_warning_field_rate","error_rep_rate","singular_rate","template_warning_rate","cluster_warning_rep_rate","cluster_error_rep_rate","dropped_cluster_rep_rate","mean_cluster_warning_count","maximum_cluster_warning_count","mean_cluster_error_count","maximum_cluster_error_count","mean_dropped_cluster_count","maximum_dropped_cluster_count","mean_retained_clusters","minimum_retained_clusters","mean_runtime_sec","method_label","method_order"
"S1C012",20,40,0.1,"Alternative","bad_leverage","Bad leverage",0.05,0.375,4,2000,20260816,"cats_trunc",2000,2000,2000,100,0,0,0,,0,,,,,,,,,,20,20,0.0928499999999967,"Truncated CATs",4
"S1C012",20,40,0.1,"Alternative","bad_leverage","Bad leverage",0.05,0.375,4,2000,20260816,"cats_robust",2000,2000,2000,100,0,100,0,,0.8,2.65,0,0,0.0265,1,0,0,0,0,20,20,0.186445000000018,"Robust CATs: lmRob",5
"S1C012",20,40,0.1,"Alternative","bad_leverage","Bad leverage",0.05,0.375,4,2000,20260816,"cats_robustbase",2000,2000,2000,100,0,100,0,,0.05,5.35,0,0,0.0545,2,0,0,0,0,20,20,0.372810000000021,"Robust CATs: lmrob",6
"S1C013",40,40,0,"Null","none","Clean",0.05,0,0,2000,20260817,"ri",2000,2000,2000,100,0,0,0,0,0,,,,,,,,,,40,40,0.603244999999957,"Random intercept (KR)",1
"S1C013",40,40,0,"Null","none","Clean",0.05,0,0,2000,20260817,"cr2",2000,2000,2000,100,0,0,0,,0,,,,,,,,,,40,40,0.234765000000005,"OLS with CR2",2
"S1C013",40,40,0,"Null","none","Clean",0.05,0,0,2000,20260817,"cats",2000,2000,2000,100,0,0,0,,0,,,,,,,,,,40,40,0.188040000000008,"CATs",3
"S1C013",40,40,0,"Null","none","Clean",0.05,0,0,2000,20260817,"cats_trunc",2000,2000,2000,100,0,0,0,,0,,,,,,,,,,39.9995,39,0.188650000000052,"Truncated CATs",4
"S1C013",40,40,0,"Null","none","Clean",0.05,0,0,2000,20260817,"cats_robust",2000,2000,2000,100,0,100,0,,0.1,8.85,0,0,0.092,2,0,0,0,0,40,40,0.373695000000007,"Robust CATs: lmRob",5
"S1C013",40,40,0,"Null","none","Clean",0.05,0,0,2000,20260817,"cats_robustbase",2000,2000,2000,100,0,100,0,,0,13.85,0,0,0.15,2,0,0,0,0,40,40,0.755449999999997,"Robust CATs: lmrob",6
"S1C014",40,40,0,"Null","vertical","Vertical outliers",0.05,6,0,2000,20260817,"ri",2000,2000,2000,100,0,0,0,0,0,,,,,,,,,,40,40,0.588329999999969,"Random intercept (KR)",1
"S1C014",40,40,0,"Null","vertical","Vertical outliers",0.05,6,0,2000,20260817,"cr2",2000,2000,2000,100,0,0,0,,0,,,,,,,,,,40,40,0.226874999999984,"OLS with CR2",2
"S1C014",40,40,0,"Null","vertical","Vertical outliers",0.05,6,0,2000,20260817,"cats",2000,2000,2000,100,0,0,0,,0,,,,,,,,,,40,40,0.184600000000035,"CATs",3
"S1C014",40,40,0,"Null","vertical","Vertical outliers",0.05,6,0,2000,20260817,"cats_trunc",2000,2000,2000,100,0,0,0,,0,,,,,,,,,,40,40,0.18691499999999,"Truncated CATs",4
"S1C014",40,40,0,"Null","vertical","Vertical outliers",0.05,6,0,2000,20260817,"cats_robust",2000,2000,2000,100,0,100,0,,0,7.4,0,0,0.0785,2,0,0,0,0,40,40,0.371034999999994,"Robust CATs: lmRob",5
"S1C014",40,40,0,"Null","vertical","Vertical outliers",0.05,6,0,2000,20260817,"cats_robustbase",2000,2000,2000,100,0,100,0,,0,11.7,0,0,0.124,2,0,0,0,0,40,40,0.738699999999975,"Robust CATs: lmrob",6
"S1C015",40,40,0,"Null","bad_leverage","Bad leverage",0.05,0.375,4,2000,20260817,"ri",2000,2000,2000,100,0,0,0,0,0,,,,,,,,,,40,40,0.589440000000093,"Random intercept (KR)",1
"S1C015",40,40,0,"Null","bad_leverage","Bad leverage",0.05,0.375,4,2000,20260817,"cr2",2000,2000,2000,100,0,0,0,,0,,,,,,,,,,40,40,0.228579999999962,"OLS with CR2",2
"S1C015",40,40,0,"Null","bad_leverage","Bad leverage",0.05,0.375,4,2000,20260817,"cats",2000,2000,2000,100,0,0,0,,0,,,,,,,,,,40,40,0.184844999999965,"CATs",3
